,country,lat,lng
0,Andorra,42.546245,1.601554
1,United Arab Emirates,23.424076,53.847818
2,Afghanistan,33.93911,67.709953
3,Antigua and Barbuda,17.060816,-61.796428
4,Anguilla,18.220554,-63.068615
5,Albania,41.153332,20.168331
6,Armenia,40.069099,45.038189
7,Netherlands Antilles,12.226079,-69.060087
8,Angola,-11.202692,17.873887
9,Antarctica,-75.250973,-0.071389
10,Argentina,-38.416097,-63.616672
11,American Samoa,-14.270972,-170.132217
12,Austria,47.516231,14.550072
13,Australia,-25.274398,133.775136
14,Aruba,12.52111,-69.968338
15,Azerbaijan,40.143105,47.576927
16,Bosnia and Herzegovina,43.915886,17.679076
17,Barbados,13.193887,-59.543198
18,Bangladesh,23.684994,90.356331
19,Belgium,50.503887,4.469936
20,Burkina Faso,12.238333,-1.561593
21,Bulgaria,42.733883,25.48583
22,Bahrain,25.930414,50.637772
23,Burundi,-3.373056,29.918886
24,Benin,9.30769,2.315834
25,Bermuda,32.321384,-64.75737
26,Brunei,4.535277,114.727669
27,Bolivia,-16.290154,-63.588653
28,Brazil,-14.235004,-51.92528
29,Bahamas,25.03428,-77.39628
30,Bhutan,27.514162,90.433601
31,Bouvet Island,-54.423199,3.413194
32,Botswana,-22.328474,24.684866
33,Belarus,53.709807,27.953389
34,Belize,17.189877,-88.49765
35,Canada,56.130366,-106.346771
36,Cocos [Keeling] Islands,-12.164165,96.870956
37,Congo [DRC],-4.038333,21.758664
38,Central African Republic,6.611111,20.939444
39,Congo [Republic],-0.228021,15.827659
40,Switzerland,46.818188,8.227512
41,Côte d'Ivoire,7.539989,-5.54708
42,Cook Islands,-21.236736,-159.777671
43,Chile,-35.675147,-71.542969
44,Cameroon,7.369722,12.354722
45,China,35.86166,104.195397
46,Colombia,4.570868,-74.297333
47,Costa Rica,9.748917,-83.753428
48,Cuba,21.521757,-77.781167
49,Cape Verde,16.002082,-24.013197
50,Christmas Island,-10.447525,105.690449
51,Cyprus,35.126413,33.429859
52,Czech Republic,49.817492,15.472962
53,Germany,51.165691,10.451526
54,Djibouti,11.825138,42.590275
55,Denmark,56.26392,9.501785
56,Dominica,15.414999,-61.370976
57,Dominican Republic,18.735693,-70.162651
58,Algeria,28.033886,1.659626
59,Ecuador,-1.831239,-78.183406
60,Estonia,58.595272,25.013607
61,Egypt,26.820553,30.802498
