,Country,M/F pop 2015,M/F pop 2019,M/F pop 2015 in million,M/F pop 2019 in million
0,Burundi,10160030.0,11530580.0,10.16,11.53
1,Comoros,777424.0,850886.0,0.78,0.85
2,Djibouti,913993.0,973560.0,0.91,0.97
3,Eritrea,3342818.0,3497117.0,3.34,3.5
4,Ethiopia,100835458.0,112078730.0,100.84,112.08
5,Kenya,47878336.0,52573973.0,47.88,52.57
6,Madagascar,24234088.0,26969307.0,24.23,26.97
7,Malawi,16745303.0,18628747.0,16.75,18.63
8,Mauritius,1259456.0,1269668.0,1.26,1.27
9,Mayotte,240020.0,266150.0,0.24,0.27
10,Mozambique,27042002.0,30366036.0,27.04,30.37
11,Réunion,863363.0,888927.0,0.86,0.89
12,Rwanda,11369071.0,12626950.0,11.37,12.63
13,Seychelles,94978.0,97739.0,0.09,0.1
14,Somalia,13797201.0,15442905.0,13.8,15.44
15,South Sudan,10715658.0,11062113.0,10.72,11.06
16,Uganda,38225453.0,44269594.0,38.23,44.27
17,United Republic of Tanzania,51482633.0,58005463.0,51.48,58.01
18,Zambia,15879361.0,17861030.0,15.88,17.86
19,Zimbabwe,13814629.0,14645468.0,13.81,14.65
21,Angola,27884381.0,31825295.0,27.88,31.83
22,Cameroon,23298368.0,25876380.0,23.3,25.88
23,Central African Republic,4493170.0,4745185.0,4.49,4.75
24,Chad,14110975.0,15946876.0,14.11,15.95
25,Congo,4856095.0,5380508.0,4.86,5.38
26,Democratic Republic of the Congo,76244544.0,86790567.0,76.24,86.79
27,Equatorial Guinea,1168568.0,1355986.0,1.17,1.36
28,Gabon,1947686.0,2172579.0,1.95,2.17
29,Sao Tome and Principe,199432.0,215056.0,0.2,0.22
31,Botswana,2120716.0,2303697.0,2.12,2.3
32,Eswatini,1104044.0,1148130.0,1.1,1.15
33,Lesotho,2059021.0000000002,2125268.0,2.06,2.13
34,Namibia,2314904.0,2494530.0,2.31,2.49
35,South Africa,55386367.0,58558270.0,55.39,58.56
37,Benin,10575952.0,11801151.0,10.58,11.8
38,Burkina Faso,18110624.0,20321378.0,18.11,20.32
39,Cabo Verde,524743.0,549935.0,0.52,0.55
40,Côte d'Ivoire,23226143.0,25716544.0,23.23,25.72
41,Gambia,2085860.0000000002,2347706.0,2.09,2.35
42,Ghana,27849205.0,30417856.0,27.85,30.42
43,Guinea,11432088.0,12771246.0,11.43,12.77
44,Guinea-Bissau,1737202.0,1920922.0,1.74,1.92
45,Liberia,4472230.0,4937374.0,4.47,4.94
46,Mali,17438778.0,19658031.0,17.44,19.66
47,Mauritania,4046301.0,4525696.0,4.05,4.53
48,Niger,20001663.0,23310715.0,20.0,23.31
49,Nigeria,181137448.0,200963599.0,181.14,200.96
50,Saint Helena,5865.0,6059.0,0.01,0.01
51,Senegal,14578459.0,16296364.0,14.58,16.3
52,Sierra Leone,7171914.0,7813215.0,7.17,7.81
53,Togo,7323158.0,8082366.0,7.32,8.08
56,Algeria,39728025.0,43053054.0,39.73,43.05
57,Egypt,92442547.0,100388073.0,92.44,100.39
58,Libya,6418315.0,6777452.0,6.42,6.78
59,Morocco,34663603.0,36471769.0,34.66,36.47
60,Sudan,38902950.0,42813238.0,38.9,42.81
61,Tunisia,11179949.0,11694719.0,11.18,11.69
62,Western Sahara,526216.0,582463.0,0.53,0.58
64,Armenia,2925553.0,2957731.0,2.93,2.96
65,Azerbaijan,9622745.0,10047718.0,9.62,10.05
66,Bahrain,1371851.0,1641172.0,1.37,1.64
67,Cyprus,1160985.0,1198575.0,1.16,1.2
68,Georgia,4024183.0,3996765.0,4.02,4.0
69,Iraq,35572261.0,39309783.0,35.57,39.31
70,Israel,7978490.0,8519377.0,7.98,8.52
71,Jordan,9266575.0,10101694.0,9.27,10.1
72,Kuwait,3835591.0,4207083.0,3.84,4.21
73,Lebanon,6532678.0,6855713.0,6.53,6.86
74,Oman,4267348.0,4974986.0,4.27,4.97
75,Qatar,2565710.0,2832067.0,2.57,2.83
76,Saudi Arabia,31717667.0,34268528.0,31.72,34.27
77,State of Palestine,4529166.0,4981420.0,4.53,4.98
78,Syrian Arab Republic,17997408.0,17070135.0,18.0,17.07
79,Turkey,78529409.0,83429615.0,78.53,83.43
80,United Arab Emirates,9262900.0,9770529.0,9.26,9.77
81,Yemen,26497889.0,29161922.0,26.5,29.16
84,Kazakhstan,17572016.0,18551427.0,17.57,18.55
85,Kyrgyzstan,5959121.0,6415850.0,5.96,6.42
86,Tajikistan,8454028.0,9321018.0,8.45,9.32
87,Turkmenistan,5565287.0,5942089.0,5.57,5.94
88,Uzbekistan,30929557.0,32981716.0,30.93,32.98
90,Afghanistan,34413603.0,38041754.0,34.41,38.04
91,Bangladesh,156256276.0,163046161.0,156.26,163.05
92,Bhutan,727876.0,763092.0,0.73,0.76
93,India,1310152403.0,1366417754.0,1310.15,1366.42
94,Iran (Islamic Republic of),78492215.0,82913906.0,78.49,82.91
95,Maldives,454915.0,530953.0,0.45,0.53
96,Nepal,27015031.0,28608710.0,27.02,28.61
97,Pakistan,199426964.0,216565318.0,199.43,216.57
98,Sri Lanka,20908027.0,21323733.0,20.91,21.32
101,China,1430405347.0,1457557562.0,1430.41,1457.56
102,"China, Hong Kong SAR",7185996.0,7436154.0,7.19,7.44
103,"China, Macao SAR",602085.0,640445.0,0.6,0.64
104,Dem. People's Republic of Korea,25183833.0,25666161.0,25.18,25.67
105,Japan,127985133.0,126860301.0,127.99,126.86
106,Mongolia,2998439.0,3225167.0,3.0,3.23
107,Republic of Korea,50823093.0,51225308.0,50.82,51.23
109,Brunei Darussalam,414907.0,433285.0,0.41,0.43
110,Cambodia,15521436.0,16486542.000000002,15.52,16.49
111,Indonesia,258383256.0,270625568.0,258.38,270.63
112,Lao People's Democratic Republic,6741164.0,7169455.0,6.74,7.17
113,Malaysia,30270962.0,31949777.0,30.27,31.95
114,Myanmar,52680726.0,54045420.0,52.68,54.05
115,Philippines,102113212.0,108116615.0,102.11,108.12
116,Singapore,5592152.0,5804337.0,5.59,5.8
117,Thailand,68714511.0,69625582.0,68.71,69.63
118,Timor-Leste,1196302.0,1293119.0,1.2,1.29
119,Viet Nam,92677076.0,96462106.0,92.68,96.46
122,Anguilla,14279.0,14869.0,0.01,0.01
123,Antigua and Barbuda,93566.0,97118.0,0.09,0.1
124,Aruba,104341.0,106314.0,0.1,0.11
125,Bahamas,374206.0,389482.0,0.37,0.39
126,Barbados,285324.0,287025.0,0.29,0.29
127,British Virgin Islands,29152.0,30030.0,0.03,0.03
