,risk_in_2021_22country,ISO3,riskrank,1 in X chance,anymk.ongoing,anymk.ever,imr.sqrt,gdppcgrowth.combined,battledeaths.ln,religiousfreedom,battledeaths,percent_chance_of_mass_killing,imr_per_1000,country,2023,2022,2021,2020
0,Pakistan,PAK,1,7,1,1,7.463243263,0.525527439,5.726847748,1,306.0,0.1429,56.0,Pakistan,146,147,150,152
1,India,IND,2,7,1,1,5.319774431,-7.964610411,6.142037406,2,464.0,0.1429,28.0,India,126,135,135,139
2,Yemen,YEM,3,8,0,0,6.603029608,-0.059,7.767687277,0,2362.0,0.125,44.0,Yemen,162,162,162,159
3,Afghanistan,AFG,4,9,1,1,6.819090848,-1.934778249,9.926911067,2,20473.0,0.1111,46.0,Afghanistan,163,163,163,163
4,Guinea,GIN,6,12,0,1,7.987490219,6.988559971,0.0,4,0.0,0.0833,64.0,Guinea,127,123,92,89
5,Ethiopia,ETH,7,13,1,1,6.041522987,6.056617792,7.203405521,3,1343.0,0.0769,37.0,Ethiopia,151,149,139,133
6,Nigeria,NGA,8,14,1,1,8.613942187,-1.794253082,7.599901959,3,1997.0,0.0714,74.0,Nigeria,144,143,146,147
7,Sudan,SDN,9,14,1,1,6.403124237,-1.5621618,3.828641396,2,45.0,0.0714,41.0,Sudan,155,154,153,153
8,Chad,TCD,10,15,0,1,8.312640976,-0.890209999,5.283203729,3,196.0,0.0667,69.0,Chad,142,136,132,134
9,Somalia,SOM,11,15,1,1,8.602325267,-1.495162709,7.571988449,0,1942.0,0.0667,74.0,Somalia,156,156,158,158
10,Turkey,TUR,12,16,0,1,2.93257566,1.756650763,5.916202063,2,370.0,0.0625,9.0,Turkey,=147,145,149,150
11,Libya,LBY,13,17,0,1,3.146426545,-31.3,6.50578406,1,668.0,0.0588,10.0,Libya,137,151,156,157
12,Syria,SYR,14,18,1,1,4.23083916,-0.137931034,8.431635303,1,4589.0,0.0556,18.0,Syria,161,161,161,162
13,Iraq,IRQ,15,18,1,1,4.669047012,-10.36509018,6.508769137,2,670.0,0.0556,22.0,Iraq,154,157,159,161
14,South Sudan,SSD,16,18,1,1,7.899367063,-0.052,4.077537444,3,58.0,0.0556,62.0,South Sudan,160,159,160,160
15,Republic of the Congo,COG,18,20,0,1,5.907622195,-7.948712902,0.0,4,0.0,0.05,35.0,Republic of the Congo,113,111,119,124
16,Thailand,THA,19,22,0,1,2.774887385,-6.087220285,3.891820298,4,48.0,0.0455,8.0,Thailand,92,103,113,114
17,Central African Republic,CAF,20,25,1,1,9.0,0.0,4.060443011,4,57.0,0.04,81.0,Central African Republic,152,155,155,155
18,Burundi,BDI,21,27,0,1,6.316644679,0.297577119,4.787491743,4,119.0,0.037,40.0,Burundi,128,131,129,132
19,Mozambique,MOZ,22,27,0,1,7.402702209,-1.281886972,6.829793738,4,924.0,0.037,55.0,Mozambique,118,122,=103,=99
20,Uganda,UGA,23,28,0,1,5.779273311,2.857581274,0.0,3,0.0,0.0357,33.0,Uganda,=124,121,114,109
21,Mali,MLI,24,32,0,0,7.758865897,-1.649261401,6.336825731,3,564.0,0.0312,60.0,Mali,153,150,148,144
22,Tanzania,TZA,25,33,0,1,6.0,2.003858269,3.258096538,3,25.0,0.0303,36.0,Tanzania,91,=86,58,52
23,China,CHN,26,34,0,1,2.607680962,2.3,0.0,0,0.0,0.0294,7.0,China,80,89,=100,104
24,Indonesia,IDN,27,36,0,1,4.494441011,-2.069543499,0.0,2,0.0,0.0278,20.0,Indonesia,53,47,=42,49
25,Angola,AGO,28,41,0,1,7.085195834,-4.04051,3.258096538,3,25.0,0.0244,50.0,Angola,=84,78,=80,91
26,Kenya,KEN,29,41,0,0,5.648008499,-0.30749749,4.553876892,4,94.0,0.0244,32.0,Kenya,117,120,116,125
27,Iran,IRN,30,43,0,1,3.464101615,1.66179376,3.33220451,1,27.0,0.0233,12.0,Iran,=147,141,141,142
28,Cameroon,CMR,31,43,0,0,7.085195834,0.730339198,6.063785209,4,429.0,0.0233,50.0,Cameroon,139,142,145,141
29,Bangladesh,BGD,32,44,0,1,5.059644256,2.375521656,0.0,3,0.0,0.0227,26.0,Bangladesh,=88,96,91,97
30,Cambodia,KHM,33,45,0,1,4.774934555,-3.141034806,0.0,3,0.0,0.0222,23.0,Cambodia,73,=62,78,78
31,Egypt,EGY,34,45,0,1,4.159326869,3.569669475,5.793013608,2,327.0,0.0222,17.0,Egypt,121,126,126,130
32,Ivory Coast,CIV,35,45,0,1,7.655063684,1.816441461,0.0,4,0.0,0.0222,59.0,Ivory Coast,90,108,=103,105
33,Algeria,DZA,36,45,0,1,4.472135955,-5.480991935,3.258096538,2,25.0,0.0222,20.0,Algeria,96,109,120,=117
34,Tajikistan,TJK,37,48,0,0,5.440588203,4.499999517,0.0,2,0.0,0.0208,30.0,Tajikistan,102,92,97,107
35,South Africa,ZAF,38,48,0,1,5.244044241,-6.959604452,0.0,4,0.0,0.0208,28.0,South Africa,130,118,123,123
36,Eritrea,ERI,39,50,0,0,5.522680509,0.05,0.0,1,0.0,0.02,31.0,Eritrea,133,132,136,136
37,Uzbekistan,UZB,40,50,0,0,3.949683532,1.647797102,0.0,3,0.0,0.02,16.0,Uzbekistan,86,=86,90,103
38,Burkina Faso,BFA,41,53,0,0,7.341661937,2.022384695,6.234410726,4,509.0,0.0189,54.0,Burkina Faso,150,146,134,122
39,Nepal,NPL,42,54,0,1,5.059644256,-2.088378695,0.0,3,0.0,0.0185,26.0,Nepal,79,73,85,73
40,Sierra Leone,SLE,43,54,0,1,8.994442729,-2.162497231,0.0,4,0.0,0.0185,81.0,Sierra Leone,47,50,46,46
41,Niger,NER,44,58,0,0,6.833739825,1.500005543,6.240275845,3,512.0,0.0172,47.0,Niger,138,140,137,138
42,Russia,RUS,45,59,0,1,2.213594362,-2.951273899,3.433987204,2,30.0,0.0169,5.0,Russia,158,160,154,154
43,Morocco,MAR,46,59,0,0,4.277849927,-7.117232169,0.0,2,0.0,0.0169,18.0,Morocco,=84,74,79,83
44,Nicaragua,NIC,47,60,0,1,3.78153408,-1.977329393,0.0,3,0.0,0.0167,14.0,Nicaragua,123,124,130,135
45,Venezuela,VEN,48,61,0,0,4.582575695,-0.14,0.0,3,0.0,0.0164,21.0,Venezuela,=140,148,152,149
46,Colombia,COL,49,62,0,1,3.435112807,-6.847314206,3.526360525,4,33.0,0.0161,12.0,Colombia,=140,144,144,140
47,Brazil,BRA,50,66,0,0,3.521363372,-4.059048273,0.0,3,0.0,0.0152,12.0,Brazil,132,130,128,126
48,Malawi,MWI,51,66,0,1,5.558776844,0.8,0.0,4,0.0,0.0152,31.0,Malawi,74,=65,=59,59
49,Liberia,LBR,52,67,0,1,7.886697661,-2.870722428,0.0,3,0.0,0.0149,62.0,Liberia,=70,=75,=76,=57
50,Madagascar,MDG,53,72,0,0,6.041522987,-4.200002074,0.0,3,0.0,0.0139,37.0,Madagascar,55,84,70,63
51,Philippines,PHL,54,72,1,1,4.647580015,-9.573029875,5.855071922,3,348.0,0.0139,22.0,Philippines,115,125,127,129
52,Azerbaijan,AZE,55,73,0,1,4.266145802,-4.309989133,8.940367233,2,7633.0,0.0137,18.0,Azerbaijan,95,128,121,120
53,Laos,LAO,56,74,0,1,6.033241252,0.439513531,0.0,2,0.0,0.0135,36.0,Laos,46,51,45,50
54,Zimbabwe,ZWE,57,77,0,1,6.196773354,-8.0,0.0,4,0.0,0.013,38.0,Zimbabwe,=124,127,133,131
55,Rwanda,RWA,58,78,0,1,5.128352562,-3.355472122,4.905274778,2,134.0,0.0128,26.0,Rwanda,=88,72,83,81
56,Zambia,ZMB,59,81,0,0,6.511528238,-3.016188903,0.0,3,0.0,0.0123,42.0,Zambia,63,56,71,44
57,Haiti,HTI,60,88,0,1,6.942621983,-3.373750496,0.0,4,0.0,0.0114,48.0,Haiti,129,115,108,111
58,North Korea,PRK,61,89,1,1,4.734976241,-0.016580903,0.0,0,0.0,0.0112,22.0,North Korea,149,152,151,151
59,Ghana,GHA,62,89,0,0,5.822370651,0.414443468,0.0,4,0.0,0.0112,34.0,Ghana,51,40,38,43
60,Peru,PER,63,90,0,1,3.209361307,-11.14881188,0.0,4,0.0,0.0111,10.0,Peru,=103,101,86,84
61,Sri Lanka,LKA,64,91,0,1,2.469817807,-3.569076137,0.0,3,0.0,0.011,6.0,Sri Lanka,107,90,95,77
62,Mexico,MEX,65,99,0,0,3.492849839,-8.239473277,0.0,4,0.0,0.0101,12.0,Mexico,136,137,140,137
63,Guatemala,GTM,66,100,0,1,4.549725266,-1.519328029,0.0,4,0.0,0.01,21.0,Guatemala,=103,106,111,115
64,Papua New Guinea,PNG,67,101,0,1,5.991660872,-3.878818537,0.0,4,0.0,0.0099,36.0,Papua New Guinea,=97,94,107,=101
65,Ukraine,UKR,68,102,0,0,2.683281573,-4.020317714,5.278114659,3,195.0,0.0098,7.0,Ukraine,157,153,142,148
66,Jordan,JOR,69,109,0,1,3.660601044,-1.551384325,0.0,2,0.0,0.0092,13.0,Jordan,62,57,63,72
67,Senegal,SEN,70,111,0,0,5.718391382,0.870408532,0.0,4,0.0,0.009,33.0,Senegal,52,70,54,47
68,Gabon,GAB,71,114,0,0,5.576737397,-1.323936553,0.0,3,0.0,0.0088,31.0,Gabon,93,=75,93,=95
69,Dominican Republic,DOM,72,115,0,1,4.847679857,-6.720239373,0.0,4,0.0,0.0087,23.0,Dominican Republic,83,=81,82,76
70,Bahrain,BHR,73,115,0,0,2.42899156,-5.814683428,0.0,1,0.0,0.0087,6.0,Bahrain,108,99,102,110
71,Togo,TGO,74,117,0,0,6.767569726,1.752800749,0.0,4,0.0,0.0085,46.0,Togo,=103,102,115,108
